station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,station_name_roman,cluster_number
2800403,1130210,高田馬場,,,28004,13,169-0075,東京都新宿区高田馬場一丁目35-1,139.704745,35.713338,0000-00-00,0000-00-00,0,2800403,767.0,1819.0,4.743155149934811,650.0,2.820078226857888,"{0: 0, 1: 117, 2: 10, 3: 537, 4: 100, 5: 3}","{0: 0.0, 1: 0.15254237288135594, 2: 0.01303780964797914, 3: 0.7001303780964798, 4: 0.1303780964797914, 5: 0.003911342894393742}",94123.7450000002,51.74477460142948,56058.35399999999,53.64435789473683,1045.0,316.5134479052149,268.231735512894,38841.50072972789,23133.276282178733,1.0395650740802365,0.0,352.0,145.2578013854441,,0
2800404,2800404,早稲田,,,28004,13,162-0043,東京都新宿区早稲田南町12,139.721319,35.705723,0000-00-00,0000-00-00,0,2800404,775.0,1961.0,5.0606451612903225,692.0,2.96258064516129,"{0: 0, 1: 83, 2: 1, 3: 558, 4: 129, 5: 3, 6: 1}","{0: 0.0, 1: 0.10709677419354839, 2: 0.0012903225806451613, 3: 0.72, 4: 0.1664516129032258, 5: 0.003870967741935484, 6: 0.0012903225806451613}",99991.71199999988,50.99016420193772,56921.40400000002,51.14232165318959,1113.0,334.73304492454906,298.8842155971457,43187.78093545616,24585.128880387627,1.0380318762586591,0.0,382.0,164.9909976273261,,0
2800406,1131316,飯田橋,,,28004,13,102-0072,東京都千代田区飯田橋四丁目10-3,139.745986,35.701725,0000-00-00,0000-00-00,0,2800406,538.0,1222.0,4.5427509293680295,512.0,3.217472118959108,"{0: 0, 1: 26, 2: 3, 3: 348, 4: 153, 5: 5, 6: 3}","{0: 0.0, 1: 0.048327137546468404, 2: 0.0055762081784386614, 3: 0.6468401486988847, 4: 0.2843866171003718, 5: 0.00929368029739777, 6: 0.0055762081784386614}",84006.21999999984,68.74486088379692,57220.549999999945,70.12322303921562,816.0,216.0022831576572,205.56351110914588,33727.76081681117,22973.54915155552,1.0339700967981698,0.0,333.0,133.69658046747182,,0
2800407,2800407,九段下,,,28004,13,102-0074,千代田区九段南１-６-１,139.751948,35.695589,0000-00-00,0000-00-00,0,2800407,607.0,1386.0,4.5667215815486,598.0,3.3097199341021417,"{0: 0, 1: 9, 2: 3, 3: 398, 4: 187, 5: 8, 6: 2}","{0: 0.0, 1: 0.014827018121911038, 2: 0.004942339373970346, 3: 0.6556836902800659, 4: 0.30807248764415157, 5: 0.013179571663920923, 6: 0.0032948929159802307}",83832.52900000001,60.48523015873017,60559.70099999997,62.43268144329894,970.0,254.7652740912117,250.9878647554277,35185.530854109486,25417.64221440992,1.0229604071391685,0.0,329.0,138.08529683032728,,0
2800408,2800408,竹橋,,,28004,13,100-0003,千代田区一ツ橋１-１-１,139.756817,35.690662,0000-00-00,0000-00-00,0,2800408,492.0,1042.0,4.235772357723577,488.0,3.319105691056911,"{0: 0, 1: 4, 2: 0, 3: 331, 4: 151, 5: 4, 6: 2}","{0: 0.0, 1: 0.008130081300813009, 2: 0.0, 3: 0.6727642276422764, 4: 0.30691056910569103, 5: 0.008130081300813009, 6: 0.0040650406504065045}",62012.878,59.51331861804223,48724.425000000025,62.78920747422684,776.0,246.47527672759725,244.4714126891615,31066.34403602587,24409.280762739967,1.0259030267620386,0.0,239.0,119.73087629653608,,0
2800412,2800412,門前仲町,,,28004,13,135-0048,江東区門前仲町１丁目,139.796209,35.671851,0000-00-00,0000-00-00,0,2800412,673.0,1622.0,4.820208023774145,637.0,3.1738484398216937,"{0: 0, 1: 36, 2: 7, 3: 439, 4: 186, 5: 5}","{0: 0.0, 1: 0.05349182763744428, 2: 0.010401188707280832, 3: 0.6523031203566122, 4: 0.2763744427934621, 5: 0.007429420505200594}",89796.5060000001,55.3615943279902,59275.03499999998,57.21528474903473,1036.0,300.4272405573714,284.3568383878835,40085.16568985658,26460.379196124228,1.0215686263328967,0.001233045622688,360.0,160.70402169487923,,0
2800413,2800413,木場,,,28004,13,135-0042,江東区木場５-５-１,139.807042,35.669351,0000-00-00,0000-00-00,0,2800413,487.0,1174.0,4.82135523613963,449.0,3.174537987679672,"{0: 0, 1: 38, 2: 3, 3: 286, 4: 156, 5: 4}","{0: 0.0, 1: 0.07802874743326489, 2: 0.006160164271047228, 3: 0.5872689938398358, 4: 0.3203285420944558, 5: 0.008213552361396304}",74834.10799999995,63.74285178875635,48921.77300000003,66.74184583901777,733.0,205.1846763898163,189.1743730986192,31529.38856858429,20611.905875607925,1.0139923953453398,0.0,298.0,125.55448370465146,,0
2800416,2800416,西葛西,,,28004,13,134-0088,江戸川区西葛西６-１４-１,139.859259,35.664631,0000-00-00,0000-00-00,0,2800416,470.0,1266.0,5.387234042553192,450.0,3.225531914893617,"{0: 0, 1: 20, 2: 0, 3: 306, 4: 142, 5: 2}","{0: 0.0, 1: 0.0425531914893617, 2: 0.0, 3: 0.6510638297872341, 4: 0.3021276595744681, 5: 0.00425531914893617}",89489.15399999985,70.68653554502357,52595.46099999997,72.746142461964,723.0,207.07322337982825,198.26159685302704,39427.25016236983,23172.577966846893,1.016151274467326,0.0,340.0,149.79765095562044,,0
2800417,2800417,葛西,,,28004,13,134-0083,江戸川区中葛西５-４３-１１,139.872458,35.663554,0000-00-00,0000-00-00,0,2800417,654.0,1807.0,5.525993883792049,626.0,3.261467889908257,"{0: 0, 1: 28, 2: 0, 3: 406, 4: 213, 5: 7}","{0: 0.0, 1: 0.04281345565749235, 2: 0.0, 3: 0.6207951070336392, 4: 0.3256880733944954, 5: 0.010703363914373088}",117678.918,65.12391698948534,68445.453,66.90660117302052,1023.0,262.28560526160254,251.05625213113635,47194.933079756105,27449.934353990164,1.0108917052541622,0.0,461.0,184.8832783266036,,0
2800501,2800501,北綾瀬,,,28005,13,120-0006,足立区谷中２丁目,139.832035,35.777117,0000-00-00,0000-00-00,0,2800501,624.0,1794.0,5.75,610.0,3.248397435897436,"{0: 0, 1: 14, 2: 0, 3: 428, 4: 181, 5: 1}","{0: 0.0, 1: 0.022435897435897436, 2: 0.0, 3: 0.6858974358974359, 4: 0.2900641025641026, 5: 0.0016025641025641025}",118076.2660000002,65.81731661092542,66402.452,68.88221161825727,964.0,251.20232724847816,245.56637759867257,47533.70642950386,26731.491149688085,1.01853511354941,0.0,468.0,188.40174543635865,,0
2800502,1132006,綾瀬,,,28005,13,120-0005,足立区綾瀬３丁目,139.825019,35.762222,0000-00-00,0000-00-00,0,2800502,684.0,1948.0,5.695906432748538,663.0,3.267543859649123,"{0: 0, 1: 21, 2: 0, 3: 443, 4: 216, 5: 3, 6: 1}","{0: 0.0, 1: 0.03070175438596491, 2: 0.0, 3: 0.6476608187134503, 4: 0.3157894736842105, 5: 0.0043859649122807015, 6: 0.0014619883040935672}",116351.85499999994,59.72887833675561,64266.53300000004,60.062180373831815,1070.0,277.1885008435465,268.6783275720341,47151.16411961357,26043.777685208068,1.022536810020424,0.0,481.0,194.92349255226003,,0
2800503,1132005,北千住,,,28005,13,120-0026,足立区千住旭町,139.804276,35.748916,0000-00-00,0000-00-00,0,2800503,445.0,1192.0,5.357303370786517,421.0,3.1662921348314605,"{0: 0, 1: 24, 2: 2, 3: 301, 4: 112, 5: 6}","{0: 0.0, 1: 0.05393258426966292, 2: 0.0044943820224719105, 3: 0.6764044943820224, 4: 0.251685393258427, 5: 0.01348314606741573}",81053.89300000024,67.99823238255054,46971.683,70.1069895522388,670.0,198.93385355707656,188.20483673602075,36234.52422537753,20998.332375845894,1.029877992012117,0.0016778523489932,283.0,126.5129900149498,,0
2800505,1130217,西日暮里,,,28005,13,116-0013,東京都荒川区西日暮里五丁目14-1,139.766511,35.732257,0000-00-00,0000-00-00,0,2800505,731.0,1942.0,5.313269493844049,700.0,3.1080711354309165,"{0: 0, 1: 31, 2: 5, 3: 553, 4: 138, 5: 4}","{0: 0.0, 1: 0.04240766073871409, 2: 0.006839945280437756, 3: 0.7564979480164159, 4: 0.18878248974008208, 5: 0.005471956224350205}",102209.83499999988,52.63122296601436,58983.17800000003,54.212479779411794,1088.0,294.60245593984155,282.1090549355528,41191.8856528125,23770.98371810785,1.0289850748109377,0.0,394.0,158.787096635154,,0
2800516,2800516,乃木坂,,,28005,13,107-0062,港区南青山１丁目,139.726215,35.666572,0000-00-00,0000-00-00,0,2800516,663.0,1480.0,4.464555052790347,579.0,2.906485671191553,"{0: 0, 1: 84, 2: 4, 3: 472, 4: 97, 5: 5, 6: 1}","{0: 0.0, 1: 0.12669683257918551, 2: 0.006033182503770739, 3: 0.7119155354449472, 4: 0.14630467571644043, 5: 0.007541478129713424, 6: 0.0015082956259426848}",86271.34300000001,58.291447972972975,56289.60000000004,60.656896551724174,928.0,274.17565107352766,239.43846451217573,35676.47305582598,23277.88496028424,1.0529300694084636,0.0,289.0,119.51246328846078,,0
2800517,2800118,表参道,,,28005,13,107-0061,港区北青山３丁目,139.712314,35.665247,0000-00-00,0000-00-00,0,2800517,681.0,1532.0,4.499265785609398,593.0,2.9089574155653453,"{0: 0, 1: 88, 2: 4, 3: 478, 4: 104, 5: 7}","{0: 0.0, 1: 0.12922173274596183, 2: 0.005873715124816446, 3: 0.7019089574155654, 4: 0.1527165932452276, 5: 0.010279001468428781}",94699.83799999996,61.81451566579633,60526.93300000003,63.77969757639623,949.0,279.02886875493994,242.97227484828105,38801.74547491346,24799.94367723356,1.0463844251142516,0.0,379.0,155.28919421163326,,0
2800518,1130206,明治神宮前〈原宿〉,,,28005,13,150-0001,渋谷区神宮前１丁目,139.703995,35.669071,0000-00-00,0000-00-00,0,2800518,467.0,1104.0,4.728051391862955,421.0,2.9850107066381155,"{0: 0, 1: 46, 2: 4, 3: 330, 4: 85, 5: 2}","{0: 0.0, 1: 0.09850107066381156, 2: 0.008565310492505354, 3: 0.7066381156316917, 4: 0.18201284796573874, 5: 0.004282655246252677}",68207.88900000004,61.782508152173946,41664.14699999996,62.46498800599694,667.0,249.44808980337,224.87718588269544,36433.24972284861,22254.90767117088,1.053908948267062,0.0,258.0,137.81072198987036,,0
2800519,2500104,代々木公園,,,28005,13,151-0063,渋谷区富ケ谷１丁目,139.689099,35.669187,0000-00-00,0000-00-00,0,2800519,660.0,1613.0,4.887878787878788,585.0,2.912121212121212,"{0: 0, 1: 75, 2: 9, 3: 477, 4: 97, 5: 2}","{0: 0.0, 1: 0.11363636363636363, 2: 0.013636363636363636, 3: 0.7227272727272728, 4: 0.14696969696969697, 5: 0.0030303030303030303}",90726.43199999994,56.24701301921881,52799.98999999998,57.32897937024971,921.0,322.55524668545206,285.90124138028705,44339.82826462253,25804.41484763545,1.0405506208957598,0.0012399256044637,352.0,172.02946489890778,,0
2800602,2100110,地下鉄成増,,,28006,13,175-0094,東京都板橋区成増二丁目11-3,139.631497,35.776557,1983-06-24,0000-00-00,0,2800602,669.0,1750.0,5.23168908819133,609.0,3.001494768310912,"{0: 0, 1: 60, 2: 1, 3: 488, 4: 118, 5: 2}","{0: 0.0, 1: 0.08968609865470852, 2: 0.0014947683109118087, 3: 0.7294469357249627, 4: 0.17638266068759342, 5: 0.0029895366218236174}",107156.70899999992,61.232405142857104,60034.45199999997,61.82744799176104,971.0,285.0757055696862,259.50837771590267,45661.84517892455,25582.008613437145,1.0408829236638102,0.0011428571428571,419.0,178.5451728455882,,0
2800611,2800611,護国寺,,,28006,13,112-0012,東京都文京区大塚五丁目40-8,139.72754,35.719044,1974-10-30,0000-00-00,0,2800611,724.0,1873.0,5.174033149171271,636.0,2.896408839779005,"{0: 0, 1: 88, 2: 1, 3: 539, 4: 92, 5: 2, 6: 2}","{0: 0.0, 1: 0.12154696132596685, 2: 0.0013812154696132596, 3: 0.744475138121547, 4: 0.1270718232044199, 5: 0.0027624309392265192, 6: 0.0027624309392265192}",99124.94,52.92308595835557,54889.44600000006,54.88944600000006,1000.0,290.1012474058536,254.8403223067996,39718.60323622982,21993.780046983786,1.0426674268953722,0.0,378.0,151.4617009936639,,0
2800613,1131316,飯田橋,,,28006,13,162-0825,東京都新宿区神楽坂一丁目13,139.743669,35.701934,1964-12-23,0000-00-00,0,2800613,542.0,1253.0,4.623616236162362,491.0,3.0645756457564577,"{0: 0, 1: 51, 2: 3, 3: 352, 4: 133, 5: 2, 6: 1}","{0: 0.0, 1: 0.0940959409594096, 2: 0.005535055350553505, 3: 0.6494464944649446, 4: 0.24538745387453875, 5: 0.0036900369003690036, 6: 0.0018450184501845018}",81738.09199999992,65.23391221069427,51584.325,65.29661392405063,790.0,221.3226021819356,200.4970436740413,33377.28269156169,21064.16428191637,1.036301028629102,0.0015961691939345,327.0,133.5285810212047,,0
2800618,1130225,有楽町,,,28006,13,100-0006,東京都千代田区有楽町一丁目11-1,139.763265,35.675714,1974-10-30,0000-00-00,0,2800618,488.0,934.0,3.827868852459016,480.0,3.4344262295081966,"{0: 0, 1: 8, 2: 7, 3: 244, 4: 223, 5: 6}","{0: 0.0, 1: 0.01639344262295082, 2: 0.014344262295081968, 3: 0.5, 4: 0.4569672131147541, 5: 0.012295081967213115}",66404.92399999997,71.09734903640253,57890.51199999999,73.74587515923565,785.0,219.3810057989109,215.7845958677812,29852.416018689,26024.751534372783,1.0107150400552471,0.0,283.0,127.22300131371269,,0
2800801,1130205,渋谷,,,28008,13,150-0043,東京都渋谷区道玄坂二丁目1-1,139.701,35.659066,0000-00-00,0000-00-00,0,2800801,742.0,1664.0,4.485175202156334,683.0,3.004043126684636,"{0: 0, 1: 59, 2: 9, 3: 553, 4: 113, 5: 7, 6: 1}","{0: 0.0, 1: 0.07951482479784366, 2: 0.012129380053908356, 3: 0.7452830188679245, 4: 0.1522911051212938, 5: 0.009433962264150943, 6: 0.0013477088948787063}",98120.72999999992,58.96678485576918,64528.29700000005,60.25051073762843,1071.0,302.3844693301484,278.3404212297727,39986.77206379615,26296.974184802184,1.0388310565065677,0.0,433.0,176.45886148241811,,0
2800802,2800118,表参道,,,28008,13,107-0061,港区北青山３丁目,139.712314,35.665247,0000-00-00,0000-00-00,0,2800802,681.0,1532.0,4.499265785609398,593.0,2.9089574155653453,"{0: 0, 1: 88, 2: 4, 3: 478, 4: 104, 5: 7}","{0: 0.0, 1: 0.12922173274596183, 2: 0.005873715124816446, 3: 0.7019089574155654, 4: 0.1527165932452276, 5: 0.010279001468428781}",94699.83799999996,61.81451566579633,60526.93300000003,63.77969757639623,949.0,279.02886875493994,242.97227484828105,38801.74547491346,24799.94367723356,1.0463844251142516,0.0,379.0,155.28919421163326,,0
2800806,2800407,九段下,,,28008,13,102-0074,千代田区九段南１-６-１,139.751948,35.695589,0000-00-00,0000-00-00,0,2800806,607.0,1386.0,4.5667215815486,598.0,3.3097199341021417,"{0: 0, 1: 9, 2: 3, 3: 398, 4: 187, 5: 8, 6: 2}","{0: 0.0, 1: 0.014827018121911038, 2: 0.004942339373970346, 3: 0.6556836902800659, 4: 0.30807248764415157, 5: 0.013179571663920923, 6: 0.0032948929159802307}",83832.52900000001,60.48523015873017,60559.70099999997,62.43268144329894,970.0,254.7652740912117,250.9878647554277,35185.530854109486,25417.64221440992,1.0229604071391685,0.0,329.0,138.08529683032728,,0
2800808,2800208,大手町,,,28008,13,100-0004,千代田区大手町１丁目,139.764107,35.68686,0000-00-00,0000-00-00,0,2800808,494.0,977.0,3.955465587044535,485.0,3.362348178137652,"{0: 0, 1: 9, 2: 1, 3: 299, 4: 175, 5: 7, 6: 3}","{0: 0.0, 1: 0.018218623481781375, 2: 0.0020242914979757085, 3: 0.6052631578947368, 4: 0.354251012145749, 5: 0.01417004048582996, 6: 0.006072874493927126}",63643.09799999995,65.14134902763557,52444.99899999994,67.23717820512813,780.0,233.28623604984227,229.0360819517682,30054.77486431424,24766.59193592657,1.0213776797007423,0.0010235414534288,270.0,127.50462294222147,,0
2800811,2800811,清澄白河,,,28008,13,135-0021,江東区白河１-７-１４,139.798851,35.682105,0000-00-00,0000-00-00,0,2800811,658.0,1442.0,4.382978723404255,636.0,3.290273556231003,"{0: 0, 1: 22, 2: 1, 3: 402, 4: 230, 5: 3}","{0: 0.0, 1: 0.03343465045592705, 2: 0.001519756838905775, 3: 0.6109422492401215, 4: 0.3495440729483283, 5: 0.004559270516717325}",85123.041,59.03123509015256,62386.25799999993,60.21839575289568,1036.0,273.69902037710455,264.5479893006664,35407.43606872356,25949.9357136676,1.0146906915447864,0.0,403.0,167.63025108202604,,0
2800814,2800814,住吉,,,28008,13,135-0002,江東区住吉２-２３-１２,139.815681,35.689073,0000-00-00,0000-00-00,0,2800811,585.0,1374.0,4.697435897435898,562.0,3.292307692307692,"{0: 0, 1: 23, 2: 2, 3: 344, 4: 213, 5: 3}","{0: 0.0, 1: 0.039316239316239315, 2: 0.003418803418803419, 3: 0.588034188034188, 4: 0.3641025641025641, 5: 0.005128205128205128}",89136.24400000004,64.8735400291121,59943.341999999946,65.58352516411372,914.0,235.653297985912,226.38829652663685,35906.41003192645,24146.74570016653,1.0139150593175932,0.0,386.0,155.4908940556616,,0
2800903,2800903,王子神谷,,,28009,13,114-0002,北区王子５-２-１１,139.735933,35.765172,0000-00-00,0000-00-00,0,2800903,635.0,1742.0,5.486614173228347,607.0,3.179527559055118,"{0: 0, 1: 28, 2: 1, 3: 443, 4: 156, 5: 6, 6: 1}","{0: 0.0, 1: 0.04409448818897638, 2: 0.0015748031496062992, 3: 0.6976377952755906, 4: 0.24566929133858267, 5: 0.009448818897637795, 6: 0.0015748031496062992}",105307.24699999996,60.451921354764615,58437.17099999994,61.126747907949735,956.0,250.35682285697897,239.31746688848227,41518.7209176931,23039.59758788972,1.0234577068673951,0.0,391.0,154.15672084579336,,0
2800904,1133212,王子,,,28009,13,114-0002,北区王子１丁目,139.737618,35.753966,0000-00-00,0000-00-00,0,2800904,585.0,1473.0,5.035897435897436,549.0,3.0803418803418805,"{0: 0, 1: 36, 2: 1, 3: 434, 4: 109, 5: 4, 6: 1}","{0: 0.0, 1: 0.06153846153846154, 2: 0.0017094017094017094, 3: 0.7418803418803419, 4: 0.18632478632478633, 5: 0.006837606837606838, 6: 0.0017094017094017094}",93984.97400000005,63.80514188730484,56733.340000000026,66.35478362573103,855.0,242.16408958762355,227.26168407453903,38905.61651901962,23485.08996643609,1.0361157149673157,0.0,346.0,143.22867520909017,,0
2800905,2800905,西ケ原,,,28009,13,114-0024,東京都北区西ヶ原二丁目3-8,139.742322,35.746008,0000-00-00,0000-00-00,0,2800905,517.0,1348.0,5.214700193423598,486.0,3.0406189555125724,"{0: 0, 1: 31, 2: 5, 3: 394, 4: 86, 5: 1}","{0: 0.0, 1: 0.059961315280464215, 2: 0.009671179883945842, 3: 0.7620889748549323, 4: 0.16634429400386846, 5: 0.0019342359767891683}",85641.89800000006,63.53256528189915,48091.06800000002,64.46523860589815,746.0,210.03557907851857,197.44156950127663,34792.73818145732,19537.399063606223,1.031427337977469,0.0,309.0,125.53383739895985,,0
2800906,1130215,駒込,,,28009,13,170-0003,東京都豊島区駒込二丁目,139.746442,35.736959,0000-00-00,0000-00-00,0,2800906,627.0,1641.0,5.23444976076555,616.0,3.2057416267942584,"{0: 0, 1: 11, 2: 7, 3: 454, 4: 152, 5: 3}","{0: 0.0, 1: 0.017543859649122806, 2: 0.011164274322169059, 3: 0.7240829346092504, 4: 0.24242424242424243, 5: 0.004784688995215311}",93911.41300000007,57.22816148689828,56163.90999999999,58.50407291666666,960.0,256.3494847849092,251.8521254027178,38395.76130458189,22962.66250718661,1.0201789469330418,0.0,410.0,167.6288496998609,,0
2800907,2800907,本駒込,,,28009,13,113-0023,文京区向丘２-３７-１,139.753828,35.724155,0000-00-00,0000-00-00,0,2800907,565.0,1485.0,5.256637168141593,524.0,2.992920353982301,"{0: 0, 1: 41, 2: 0, 3: 450, 4: 71, 5: 2, 6: 1}","{0: 0.0, 1: 0.07256637168141593, 2: 0.0, 3: 0.7964601769911505, 4: 0.1256637168141593, 5: 0.0035398230088495575, 6: 0.0017699115044247787}",86765.25999999992,58.42778451178446,48691.06399999995,60.03830332922312,811.0,241.447762444834,223.926774373616,37078.3679379544,20807.69637851008,1.0341753936909108,0.0,329.0,140.59524574221305,,0
