station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportions,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion,clean_intersection_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,clean_intersection_density_km
9961210,9961210,鹿王院,,,99612,26,616-8367,京都市右京区嵯峨北堀町２６-６,135.685236,35.01704,0000-00-00,0000-00-00,0,9961210,shikaouin,794.0,2055.0,5.17632241813602,105218.02100000004,51.20098345498785,2.756926952141058,"{0: 0, 1: 130, 2: 0, 3: 597, 4: 67}","{0: 0.0, 1: 0.163727959697733, 2: 0.0, 3: 0.7518891687657431, 4: 0.08438287153652393}",664.0,54555.97500000007,1058.0,51.56519376181481,1.0955810745035446,0.0047258979206049,348.0,325.7782097233505,272.4392081313662,43170.95530480341,22384.31721059432,142.7844042616196
9961211,9961211,嵐電嵯峨,,,99612,26,616-8366,京都市右京区嵯峨天龍寺今堀町２３-２,135.681425,35.016426,0000-00-00,0000-00-00,0,9961211,arashidensaga,612.0,1615.0,5.277777777777778,89576.00700000013,55.465019814241565,2.833333333333333,"{0: 0, 1: 83, 2: 0, 3: 466, 4: 62, 5: 1}","{0: 0.0, 1: 0.13562091503267973, 2: 0.0, 3: 0.761437908496732, 4: 0.10130718954248366, 5: 0.0016339869281045752}",529.0,46850.38100000002,840.0,55.774263095238126,1.102354021571968,0.0047619047619047,285.0,271.3524094134195,234.5513473524492,39716.77340699897,20772.81661157957,126.36509261899438
9961212,9961212,嵐山,,,99612,26,616-8384,京都市右京区嵯峨天龍寺造路町,135.677698,35.015271,0000-00-00,0000-00-00,0,9961212,arashiyama,465.0,1199.0,5.156989247311828,68518.536,57.14640200166805,2.8021505376344087,"{0: 0, 1: 71, 2: 1, 3: 344, 4: 47, 5: 2}","{0: 0.0, 1: 0.15268817204301074, 2: 0.002150537634408602, 3: 0.7397849462365591, 4: 0.1010752688172043, 5: 0.004301075268817204}",394.0,35924.020000000026,628.0,57.20385350318475,1.0948080532962945,0.0063694267515923,230.0,241.60677087015844,204.7162746727794,35601.16608109828,18665.562298655903,119.5044243013687
9961301,9961207,帷子ノ辻,,,99613,26,616-8151,京都市右京区太秦帷子ケ辻町３０-３,135.700257,35.015146,0000-00-00,0000-00-00,0,9961301,katabiranotsuji,1053.0,2771.0,5.263057929724597,127842.4570000002,46.13585600866121,2.740740740740741,"{0: 0, 1: 180, 2: 0, 3: 786, 4: 87}","{0: 0.0, 1: 0.17094017094017094, 2: 0.0, 3: 0.7464387464387464, 4: 0.08262108262108261}",873.0,65664.18500000006,1407.0,46.669641080312765,1.091539608911834,0.0014214641080312,405.0,423.1265786867818,350.7972489967337,51370.88455966013,26385.813809407337,162.7409918026084
9961310,9961310,撮影所前,,,99613,26,616-8173,京都市右京区太秦上ノ段町1-5,135.702778,35.01575,2016-04-01,0000-00-00,0,9961301,satsueijomae,1036.0,2731.0,5.272200772200772,128395.02300000007,47.01392273892351,2.7625482625482625,"{0: 0, 1: 169, 2: 0, 3: 775, 4: 92}","{0: 0.0, 1: 0.16312741312741313, 2: 0.0, 3: 0.7480694980694981, 4: 0.0888030888030888}",867.0,66025.01999999996,1388.0,47.568458213256456,1.1025246539144031,0.0014409221902017,412.0,414.8426773368868,347.17046452807034,51412.87171626563,26438.22014287788,164.97604542741058
9961302,9961302,常盤,,,99613,26,616-8225,京都市右京区常盤馬塚町５-１,135.704807,35.020296,0000-00-00,0000-00-00,0,9961302,tokiwa,889.0,2317.0,5.21259842519685,116065.12700000002,50.09284721622789,2.764904386951631,"{0: 0, 1: 148, 2: 0, 3: 654, 4: 87}","{0: 0.0, 1: 0.16647919010123735, 2: 0.0, 3: 0.735658042744657, 4: 0.09786276715410573}",741.0,60297.330000000096,1187.0,50.79808761583833,1.0860545899692418,0.0008424599831508,390.0,359.66264025496145,299.7862951956428,46956.45671355165,24394.48471105144,157.78226062928567
9961303,9961303,鳴滝,,,99613,26,616-8234,京都市右京区鳴滝嵯峨園町１-２,135.705793,35.023626,0000-00-00,0000-00-00,0,9961303,narutaki,764.0,1962.0,5.136125654450262,101336.021,51.649348114169214,2.717277486910995,"{0: 0, 1: 144, 2: 0, 3: 549, 4: 70, 5: 1}","{0: 0.0, 1: 0.18848167539267016, 2: 0.0, 3: 0.7185863874345549, 4: 0.09162303664921466, 5: 0.0013089005235602095}",620.0,53078.2110000001,1009.0,52.60476808721516,1.0840956128578831,0.0,331.0,340.8494640939724,276.60558604484675,45209.85399380305,23680.209128817834,147.67169190458753
9961304,9961304,宇多野,,,99613,26,616-8207,京都市右京区宇多野長尾町１１-１,135.709731,35.027145,0000-00-00,0000-00-00,0,9961304,utano,733.0,1880.0,5.129604365620737,97854.27000000002,52.05014361702128,2.679399727148704,"{0: 0, 1: 145, 2: 0, 3: 533, 4: 55}","{0: 0.0, 1: 0.19781718963165076, 2: 0.0, 3: 0.7271487039563438, 4: 0.07503410641200546}",588.0,49822.18400000001,952.0,52.33422689075631,1.092650721762266,0.0,331.0,312.20213933236124,250.44318953264448,41678.46171460642,21220.45352116036,140.98077506004307
9961305,9961305,御室仁和寺,,,99613,26,616-8094,京都市右京区御室小松野町１２-２,135.714106,35.02639,0000-00-00,0000-00-00,0,9961305,omurohitoshiwatera,778.0,2041.0,5.246786632390745,101751.19199999997,49.853597256246914,2.735218508997429,"{0: 0, 1: 133, 2: 0, 3: 588, 4: 54, 5: 3}","{0: 0.0, 1: 0.17095115681233933, 2: 0.0, 3: 0.7557840616966581, 4: 0.06940874035989718, 5: 0.0038560411311053984}",645.0,51681.84999999999,1035.0,49.93415458937197,1.073127516113733,0.0,340.0,326.37012414102537,270.5767738701303,42684.51049426387,21680.4778924651,142.62961723386712
9961306,9961306,妙心寺,,,99613,26,616-8021,京都市右京区花園天授ケ岡町３-２,135.718011,35.026345,0000-00-00,0000-00-00,0,9961306,myoukokorotera,681.0,1808.0,5.309838472834068,93711.883,51.831793694690255,2.765051395007342,"{0: 0, 1: 104, 2: 0, 3: 532, 4: 42, 5: 3}","{0: 0.0, 1: 0.1527165932452276, 2: 0.0, 3: 0.7812041116005873, 4: 0.06167400881057269, 5: 0.004405286343612335}",577.0,47237.57499999995,916.0,51.56940502183401,1.0842734728134171,0.0010917030567685,310.0,292.6452245988792,247.95344286865392,40270.68289004242,20299.34030158794,133.21588784971007
9961307,9961307,龍安寺,,,99613,26,616-8012,京都市右京区谷口垣ノ内町９-１,135.721264,35.027862,0000-00-00,0000-00-00,0,9961307,ryuuantera,671.0,1796.0,5.353204172876304,93349.639,51.97641369710468,2.87779433681073,"{0: 0, 1: 74, 2: 0, 3: 531, 4: 66}","{0: 0.0, 1: 0.11028315946348734, 2: 0.0, 3: 0.7913561847988078, 4: 0.09836065573770492}",597.0,48160.31899999999,933.0,51.618777063236855,1.0791545861329273,0.0010718113612004,321.0,310.58283289787914,276.3307768107807,43208.33879376206,22291.75604811557,148.57986491835948
9961308,9961308,等持院・立命館大学衣笠キャンパス前,,,99613,26,603-8354,京都市北区等持院西町１５-２,135.723797,35.027828,0000-00-00,0000-00-00,0,9961308,toujiin.ritsumeikandaigakukinugasakyanpasumae,737.0,1959.0,5.316146540027137,102667.91499999986,52.40832822868804,2.948439620081411,"{0: 0, 1: 72, 2: 0, 3: 559, 4: 106}","{0: 0.0, 1: 0.09769335142469471, 2: 0.0, 3: 0.7584803256445047, 4: 0.14382632293080055}",665.0,54992.81099999992,1050.0,52.37410571428563,1.0638674812640307,0.0009523809523809,364.0,325.6188085064464,293.8080158165358,45360.38555514392,24296.73486328381,160.82122971010378
9961309,9961309,北野白梅町,,,99613,26,603-8326,京都市北区北野下白梅町１５-２,135.730846,35.027409,0000-00-00,0000-00-00,0,9961309,kitanoshiraumemachi,782.0,2022.0,5.171355498721228,108242.95699999972,53.53261968348156,2.9705882352941178,"{0: 0, 1: 78, 2: 1, 3: 570, 4: 132, 5: 1}","{0: 0.0, 1: 0.09974424552429667, 2: 0.0012787723785166241, 3: 0.7289002557544757, 4: 0.16879795396419436, 5: 0.0012787723785166241}",704.0,59839.24600000002,1117.0,53.57139301700987,1.04533995900027,0.000895255147717,403.0,327.5851683292664,294.910432869314,45343.717761256325,25067.070938115583,168.8194665430874
9961401,9961401,千里中央,,,99614,27,560-0082,豊中市新千里東町１-５-４,135.495067,34.808655,0000-00-00,0000-00-00,0,9961401,senrichuuou,305.0,675.0,4.426229508196721,65673.08499999995,97.29345925925918,2.875409836065574,"{0: 0, 1: 45, 2: 2, 3: 208, 4: 47, 5: 2, 6: 1}","{0: 0.0, 1: 0.14754098360655737, 2: 0.006557377049180328, 3: 0.6819672131147541, 4: 0.1540983606557377, 5: 0.006557377049180328, 6: 0.003278688524590164}",260.0,43473.32100000005,410.0,106.03249024390256,1.0735878283350468,0.0024390243902439,197.0,129.6017224997244,110.48015688501096,27906.048976625592,18472.843555355565,83.70996502441214
9961402,9961402,桃山台,,,99614,27,565-0854,吹田市桃山台５-１-１,135.497142,34.793842,0000-00-00,0000-00-00,0,9961402,momoyamadai,305.0,799.0,5.239344262295082,69962.60200000007,87.56270588235303,2.921311475409836,"{0: 0, 1: 37, 2: 0, 3: 221, 4: 44, 5: 3}","{0: 0.0, 1: 0.12131147540983607, 2: 0.0, 3: 0.7245901639344262, 4: 0.14426229508196722, 5: 0.009836065573770493}",268.0,38725.215000000026,417.0,92.8662230215828,1.1044078649797346,0.0023980815347721,226.0,137.5615429591598,120.8737492231306,31554.634362483965,17465.902710902305,101.93084822547578
9961403,9961403,緑地公園,,,99614,27,561-0871,豊中市東寺内町１８-１,135.495278,34.774772,0000-00-00,0000-00-00,0,9961403,ryokuchikouen,542.0,1338.0,4.937269372693727,86111.628,64.358466367713,2.798892988929889,"{0: 0, 1: 102, 2: 2, 3: 345, 4: 90, 5: 2, 6: 1}","{0: 0.0, 1: 0.1881918819188192, 2: 0.0036900369003690036, 3: 0.6365313653136532, 4: 0.16605166051660517, 5: 0.0036900369003690036, 6: 0.0018450184501845018}",440.0,47926.09199999991,725.0,66.1049544827585,1.0727089934103478,0.0082758620689655,326.0,223.22846947864568,181.2186837096017,35465.990632388355,19738.87115360285,134.26657020302304
