,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
5586,2500134,2500134,本厚木,,,25001,14,243-0013,厚木市泉町１丁目,139.364261,35.439338,0000-00-00,0000-00-00,0,2500134,707,1797,5.083451202263084,575,2.8415841584158414,"{0: 0, 1: 132, 2: 0, 3: 430, 4: 139, 5: 5, 6: 1}","{0: 0.0, 1: 0.1867043847241867, 2: 0.0, 3: 0.6082036775106082, 4: 0.1966053748231966, 5: 0.007072135785007072, 6: 0.0014144271570014145}",99188.48700000004,55.19670951585979,55830.38300000003,57.0862811860941,978,329.10760843020694,267.6617748901966,46172.11561581427,25988.97288100777,1.0133223032541518,0.0,379,176.42402205806002
5587,2500135,2500135,愛甲石田,,,25001,14,243-0035,厚木市愛甲,139.344098,35.417634,0000-00-00,0000-00-00,0,2500135,743,1829,4.9232839838492595,553,2.5868102288021535,"{0: 0, 1: 190, 2: 0, 3: 481, 4: 71, 5: 1}","{0: 0.0, 1: 0.2557200538358008, 2: 0.0, 3: 0.6473755047106325, 4: 0.0955585464333782, 5: 0.0013458950201884253}",102327.64500000008,55.94731820667035,52294.133000000096,56.3514364224139,928,309.5143115672073,230.36529515029025,42627.01291583931,21784.364164870804,1.032931542594656,0.0010934937124111536,370,154.13229512768064
5588,2500136,2500136,伊勢原,,,25001,14,259-1132,伊勢原市桜台１丁目,139.313768,35.396081,0000-00-00,0000-00-00,0,2500136,806,2095,5.198511166253102,647,2.729528535980149,"{0: 0, 1: 159, 2: 2, 3: 543, 4: 102}","{0: 0.0, 1: 0.19727047146401985, 2: 0.0024813895781637717, 3: 0.673697270471464, 4: 0.12655086848635236}",115099.39699999972,54.940046300715856,58828.12100000002,55.08251029962549,1068,337.13354502371357,270.6270516505492,48143.756502111275,24606.61660026548,1.044145131859894,0.0019093078758949881,422,176.51408933003364
5589,2500137,2500137,鶴巻温泉,,,25001,14,257-0001,秦野市鶴巻北２丁目,139.277813,35.381131,0000-00-00,0000-00-00,0,2500137,594,1555,5.235690235690235,476,2.702020202020202,"{0: 0, 1: 118, 2: 0, 3: 417, 4: 59}","{0: 0.0, 1: 0.19865319865319866, 2: 0.0, 3: 0.702020202020202, 4: 0.09932659932659933}",93215.195,59.945463022508044,46713.37099999996,59.96581643132216,779,259.15016675280884,207.66915719585356,40667.901225834335,20380.097448208442,1.0580727179785567,0.003215434083601286,302,131.7564820864449
5590,2500138,2500138,東海大学前,,,25001,14,257-0006,秦野市北矢名,139.271236,35.373151,0000-00-00,0000-00-00,0,2500138,732,1872,5.114754098360656,573,2.6666666666666665,"{0: 0, 1: 159, 2: 2, 3: 496, 4: 74, 5: 1}","{0: 0.0, 1: 0.21721311475409835, 2: 0.00273224043715847, 3: 0.6775956284153005, 4: 0.10109289617486339, 5: 0.001366120218579235}",113134.73200000003,60.4352200854701,56719.44199999994,60.33983191489355,940,295.22903744761743,231.1014186577661,45629.31424898111,22875.992166975335,1.062037279423233,0.0,386,155.68088586718625
5591,2500139,2500139,秦野,,,25001,14,257-0034,秦野市大秦町１丁目,139.226009,35.370075,0000-00-00,0000-00-00,0,2500139,738,1849,5.010840108401084,576,2.63550135501355,"{0: 0, 1: 162, 2: 3, 3: 516, 4: 56, 5: 1}","{0: 0.0, 1: 0.21951219512195122, 2: 0.0040650406504065045, 3: 0.6991869918699187, 4: 0.07588075880758807, 5: 0.0013550135501355014}",109887.18799999991,59.43060465116274,55437.93799999989,59.482766094420484,932,295.8671016170989,230.9206646767601,44054.205716007076,22225.287311230888,1.064691026974155,0.001081665765278529,403,161.56428448738598
5592,2500140,2500140,渋沢,,,25001,14,259-1321,秦野市曲松１丁目,139.184405,35.374032,0000-00-00,0000-00-00,0,2500140,1171,2759,4.712211784799317,803,2.421861656703672,"{0: 0, 1: 368, 2: 0, 3: 745, 4: 57, 5: 1}","{0: 0.0, 1: 0.3142613151152861, 2: 0.0, 3: 0.6362083689154568, 4: 0.04867634500426986, 5: 0.0008539709649871904}",123184.31599999956,44.64817542587878,61985.34500000009,44.722471139971205,1386,484.7758658516923,332.42956471298794,50996.39918723165,25660.972922707864,1.0724547763540484,0.001812250815512867,467,193.3307680211275
5593,2500141,2500141,新松田,,,25001,14,258-0003,足柄上郡松田町松田惣領,139.139848,35.345082,0000-00-00,0000-00-00,0,2500141,355,899,5.0647887323943666,291,2.732394366197183,"{0: 0, 1: 64, 2: 0, 3: 261, 4: 28, 5: 1, 6: 1}","{0: 0.0, 1: 0.18028169014084508, 2: 0.0, 3: 0.7352112676056338, 4: 0.07887323943661972, 5: 0.0028169014084507044, 6: 0.0028169014084507044}",73700.32500000006,81.980339265851,38248.06000000003,82.60920086393094,463,166.82921937939386,136.75296574479893,34634.83855706376,17974.3492748626,1.0820166567486111,0.002224694104560623,206,96.8079413863525
5594,2500142,2500142,開成,,,25001,14,258-0021,足柄上郡開成町吉田島字中河原,139.135785,35.326532,0000-00-00,0000-00-00,0,2500142,296,830,5.608108108108108,258,2.9054054054054053,"{0: 0, 1: 38, 2: 0, 3: 211, 4: 46, 5: 1}","{0: 0.0, 1: 0.12837837837837837, 2: 0.0, 3: 0.7128378378378378, 4: 0.1554054054054054, 5: 0.0033783783783783786}",64535.61800000009,77.75375662650613,32433.51399999996,77.77821103117496,417,149.08732645522457,129.94773724813493,32504.87415120162,16335.898276378683,1.0615024082136828,0.0024096385542168677,197,99.22365983675418
5595,2500143,2500143,栢山,,,25001,14,250-0852,小田原市栢山,139.14258,35.310679,0000-00-00,0000-00-00,0,2500143,351,946,5.39031339031339,289,2.7948717948717947,"{0: 0, 1: 62, 2: 0, 3: 237, 4: 52}","{0: 0.0, 1: 0.17663817663817663, 2: 0.0, 3: 0.6752136752136753, 4: 0.14814814814814814}",71237.8239999999,75.30425369978849,35618.91200000001,75.3042536997886,473,181.1819417392328,149.17829391065038,36772.10050597636,18386.05025298821,1.0403103317307643,0.0,199,102.72138577238555
