station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
2400131,2400131,平山城址公園,,,24001,13,191-0043,日野市平山５-１８-１０,139.379926,35.647371,0000-00-00,0000-00-00,0,2400131,hirayamajoushikouen,641,1819,5.675507020280813,574,2.9859594383775354,"{0: 0, 1: 67, 2: 0, 3: 450, 4: 123, 5: 1}","{0: 0.0, 1: 0.10452418096723869, 2: 0.0, 3: 0.7020280811232449, 4: 0.1918876755070203, 5: 0.0015600624024961}",111178.81299999997,61.12084277075314,56298.31900000003,61.061083514099806,922,274.739543934359,246.02261812530747,47652.443648648,24130.06940145252,1.0447337425838594,0.0,423,181.30238234669872
2400132,2400132,長沼,,,24001,13,192-0907,八王子市長沼町７００,139.365849,35.642788,0000-00-00,0000-00-00,0,2400132,naganuma,510,1409,5.525490196078431,452,2.949019607843137,"{0: 0, 1: 58, 2: 1, 3: 360, 4: 91}","{0: 0.0, 1: 0.11372549019607843, 2: 0.00196078431372549, 3: 0.7058823529411765, 4: 0.1784313725490196}",90205.50900000002,64.02094322214336,46043.193999999945,64.30613687150829,716,206.536103640824,183.0476840110833,36530.77324666135,18646.238995957952,1.0478726894252206,0.0,326,132.02111722923263
2400133,2400133,北野,,,24001,13,192-0911,八王子市打越町３３５-１,139.354489,35.644479,0000-00-00,0000-00-00,0,2400133,kitano,670,1806,5.391044776119404,598,2.9776119402985075,"{0: 0, 1: 72, 2: 1, 3: 472, 4: 121, 5: 3, 6: 1}","{0: 0.0, 1: 0.10746268656716418, 2: 0.0014925373134328358, 3: 0.7044776119402985, 4: 0.18059701492537314, 5: 0.004477611940298508, 6: 0.0014925373134328358}",113856.20999999985,63.04330564784046,62002.75200000006,64.99240251572333,954,282.6638275400822,252.28801323726745,48034.376280309465,26158.112236326124,1.0500233811811122,0.0011074197120708,411,173.39527331190118
2400134,2400134,京王八王子,,,24001,13,192-0046,八王子市明神町３-２７-１,139.343851,35.657416,0000-00-00,0000-00-00,0,2400134,keiouhachiouji,616,1794,5.824675324675325,587,3.1996753246753253,"{0: 0, 1: 29, 2: 3, 3: 408, 4: 168, 5: 8}","{0: 0.0, 1: 0.04707792207792208, 2: 0.00487012987012987, 3: 0.6623376623376623, 4: 0.2727272727272727, 5: 0.012987012987012988}",107380.75899999987,59.85549554069112,56966.656,60.21845243128964,946,246.9911868867594,235.36335503657105,43055.3589516413,22841.33438053528,1.0154887256568392,0.0,420,168.40308196824503
2500101,1130208,新宿,,,25001,13,160-0023,東京都新宿区西新宿一丁目1-3,139.699574,35.691435,0000-00-00,0000-00-00,0,2500101,shinjuku,706,1555,4.405099150141643,680,3.2209631728045327,"{0: 0, 1: 26, 2: 3, 3: 485, 4: 177, 5: 12, 6: 2, 7: 1}","{0: 0.0, 1: 0.036827195467422094, 2: 0.00424929178470255, 3: 0.6869688385269122, 4: 0.2507082152974504, 5: 0.0169971671388102, 6: 0.0028328611898017, 7: 0.00141643059490085}",89432.81999999996,57.513067524115726,64755.177,59.51762591911765,1088,293.8460064533632,283.02448213638377,37223.05524484768,26951.91240599245,1.0188876688244335,0.0,392,163.15528970215064
2500102,2500102,南新宿,,,25001,13,151-0053,渋谷区代々木２丁目,139.69867,35.683483,0000-00-00,0000-00-00,0,2500102,minamishinjuku,586,1435,4.897610921501706,533,3.023890784982936,"{0: 0, 1: 53, 2: 1, 3: 415, 4: 113, 5: 4}","{0: 0.0, 1: 0.09044368600682594, 2: 0.0017064846416382253, 3: 0.7081911262798635, 4: 0.19283276450511946, 5: 0.006825938566552901}",83262.75700000017,58.02282717770047,50955.93600000012,60.87925448028687,837,237.5287318344514,216.0457577948167,33749.653718856884,20654.434910439413,1.0315073448738117,0.0,307,124.43911377675184
2500103,2500103,参宮橋,,,25001,13,151-0053,渋谷区代々木４丁目,139.693568,35.678586,0000-00-00,0000-00-00,0,2500103,sanguuhashi,549,1357,4.943533697632059,490,2.9234972677595628,"{0: 0, 1: 59, 2: 3, 3: 409, 4: 77, 5: 1}","{0: 0.0, 1: 0.10746812386156648, 2: 0.00546448087431694, 3: 0.7449908925318761, 4: 0.14025500910746813, 5: 0.0018214936247723133}",83864.95800000013,61.80173765659551,51330.12900000007,66.92324511082147,767,286.5577554029652,255.76193105182685,43774.4155217559,26792.434518733466,1.0389653552520126,0.0,299,156.06697425407395
2500104,2500104,代々木八幡,,,25001,13,151-0053,渋谷区代々木５丁目,139.688913,35.66971500000001,0000-00-00,0000-00-00,0,2500104,yoyogihachiman,663,1625,4.901960784313727,590,2.917043740573152,"{0: 0, 1: 73, 2: 6, 3: 489, 4: 93, 5: 2}","{0: 0.0, 1: 0.11010558069381599, 2: 0.00904977375565611, 3: 0.7375565610859729, 4: 0.14027149321266968, 5: 0.0030165912518853697}",92071.86200000008,56.65960738461544,53388.24800000002,57.84208884073675,923,308.32007642325306,274.37231536910906,42816.898232686624,24827.554605525787,1.0420089922936355,0.0024615384615384,354,164.62338922146543
2500105,2500105,代々木上原,,,25001,13,151-0066,渋谷区西原３丁目,139.680153,35.669159,0000-00-00,0000-00-00,0,2500105,yoyogiuehara,866,2207,5.096997690531177,782,2.941108545034642,"{0: 0, 1: 84, 2: 7, 3: 653, 4: 120, 5: 2}","{0: 0.0, 1: 0.09699769053117784, 2: 0.008083140877598153, 3: 0.754041570438799, 4: 0.13856812933025403, 5: 0.0023094688221709007}",122936.48899999964,55.7029855006795,69744.39599999994,56.61071103896097,1232,351.83257373871686,317.70562663242106,49945.79830400848,28335.27753872085,1.0350817085620614,0.0018124150430448,462,187.69820908462728
2500106,2500106,東北沢,,,25001,13,155-0031,世田谷区北沢３丁目,139.673014,35.66537899999999,0000-00-00,0000-00-00,0,2500106,higashikitazawa,1049,2673,5.096282173498572,920,2.8713060057197333,"{0: 0, 1: 129, 2: 9, 3: 782, 4: 127, 5: 1, 6: 1}","{0: 0.0, 1: 0.12297426120114395, 2: 0.008579599618684462, 3: 0.7454718779790277, 4: 0.12106768350810296, 5: 0.0009532888465204957, 6: 0.0009532888465204957}",130235.85999999994,48.72273101384211,70335.50899999983,48.540723947549935,1449,421.6067184372397,369.7599437199814,52343.482895568864,28268.7541840828,1.0340690704096756,0.0,493,198.14310027603352
