,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1514,1131219,1131104,吉祥寺,,,11312,13,180-0003,東京都武蔵野市吉祥寺南町,139.57976499999998,35.703119,0000-00-00,0000-00-00,0,1131219,kichijouji,621,1593,5.130434782608695,541,2.972624798711755,"{0: 0, 1: 80, 2: 0, 3: 398, 4: 143}","{0: 0.0, 1: 0.1288244766505636, 2: 0.0, 3: 0.6409017713365539, 4: 0.23027375201288244}",101080.79900000006,63.45310671688642,55619.47699999998,63.13220998864924,881,259.2286724400995,225.8336743801833,42194.91358124727,23217.65408135691,1.0247271842950565,0.0,370,154.45186602711243
1515,1131220,1131105,三鷹,,,11312,13,181-0013,東京都三鷹市下連雀三丁目46-1,139.560325,35.702683,0000-00-00,0000-00-00,0,1131220,mitaka,640,1665,5.203125,608,3.190625,"{0: 0, 1: 32, 2: 6, 3: 414, 4: 185, 5: 2, 6: 1}","{0: 0.0, 1: 0.05, 2: 0.009375, 3: 0.646875, 4: 0.2890625, 5: 0.003125, 6: 0.0015625}",105157.86799999994,63.15787867867864,62246.651999999965,64.37089141675281,967,258.7198633275124,245.7838701611368,42510.04568245715,25163.195778180027,1.013877783918791,0.0,423,170.99765966802772
1516,1131221,1131221,武蔵境,,,11312,13,180-0022,武蔵野市境１丁目,139.54340200000001,35.702083,0000-00-00,0000-00-00,0,1131221,musashisakai,694,1825,5.259365994236311,609,2.919308357348703,"{0: 0, 1: 85, 2: 4, 3: 487, 4: 118}","{0: 0.0, 1: 0.12247838616714697, 2: 0.005763688760806916, 3: 0.7017291066282421, 4: 0.17002881844380405}",108233.4600000001,59.306005479452104,58744.151000000034,60.188679303278725,976,291.80364840909994,256.0640084742678,45508.52810942422,24699.93888255776,1.0332618568975835,0.001095890410958904,380,159.7772138263083
1517,1131222,1131222,東小金井,,,11312,13,184-0002,小金井市梶野町５丁目,139.52483700000002,35.701643,0000-00-00,0000-00-00,0,1131222,higashikoganei,660,1742,5.278787878787878,561,2.8136363636363635,"{0: 0, 1: 99, 2: 4, 3: 478, 4: 79}","{0: 0.0, 1: 0.15, 2: 0.006060606060606061, 3: 0.7242424242424242, 4: 0.11969696969696969}",104743.29299999995,60.12818197474164,53361.98500000004,60.024730033745826,889,270.04664971656797,229.5396522590828,42856.93235595581,21833.67465375116,1.0601626282356236,0.002296211251435132,379,155.07224279178678
1518,1131223,1131223,武蔵小金井,,,11312,13,184-0004,小金井市本町６丁目,139.506483,35.701337,0000-00-00,0000-00-00,0,1131223,musashikoganei,895,2304,5.148603351955307,718,2.6994413407821227,"{0: 0, 1: 177, 2: 2, 3: 629, 4: 87}","{0: 0.0, 1: 0.19776536312849163, 2: 0.0022346368715083797, 3: 0.7027932960893855, 4: 0.09720670391061452}",120241.50000000009,52.18815104166671,60903.00200000006,52.098376390077036,1169,360.48458661857745,289.1932214437303,48430.39935407566,24530.272066816106,1.0563049048775484,0.0,439,176.8186966765983
1519,1131224,1131106,国分寺,,,11312,13,185-0012,東京都国分寺市本町二丁目1-23,139.480841,35.700123,0000-00-00,0000-00-00,0,1131224,kokubunji,568,1602,5.640845070422535,514,2.948943661971831,"{0: 0, 1: 54, 2: 0, 3: 437, 4: 75, 5: 2}","{0: 0.0, 1: 0.09507042253521127, 2: 0.0, 3: 0.7693661971830986, 4: 0.13204225352112675, 5: 0.0035211267605633804}",99915.3020000003,62.369102372035144,50136.168000000005,62.35841791044777,804,237.33012281871225,214.7670477620037,41748.08256184647,20948.631882217593,1.0610681518023235,0.0,338,141.22813646606468
1520,1131225,1130503,西国分寺,,,11312,13,185-0013,国分寺市西恋ケ窪２丁目,139.465994,35.699744,0000-00-00,0000-00-00,0,1131225,nishikokubunji,604,1587,5.254966887417218,513,2.8311258278145695,"{0: 0, 1: 91, 2: 2, 3: 432, 4: 76, 5: 3}","{0: 0.0, 1: 0.15066225165562913, 2: 0.0033112582781456954, 3: 0.7152317880794702, 4: 0.12582781456953643, 5: 0.004966887417218543}",97300.14700000006,61.310741650913705,50787.85899999995,62.240023284313665,816,244.3797704112916,207.5609639420407,39367.860239809495,20548.88298361099,1.0740308081221053,0.0,329,133.1141464657532
1521,1131226,1131226,国立,,,11312,13,186-0001,国立市北１丁目,139.44634,35.69923,0000-00-00,0000-00-00,0,1131226,kokuritsu,466,1197,5.1373390557939915,398,2.9721030042918457,"{0: 0, 1: 68, 2: 1, 3: 279, 4: 114, 5: 2, 6: 2}","{0: 0.0, 1: 0.1459227467811159, 2: 0.002145922746781116, 3: 0.5987124463519313, 4: 0.2446351931330472, 5: 0.004291845493562232, 6: 0.004291845493562232}",85494.01000000002,71.423567251462,47604.12999999994,72.78918960244638,654,190.507677328509,162.70827376984246,34951.21302703933,19461.27089601799,1.0391948420404251,0.0,270,110.37998471823484
1522,1131227,1130325,立川,,,11312,13,190-0012,東京都立川市曙町二丁目1-1,139.413704,35.698202,0000-00-00,0000-00-00,0,1131227,tachikawa,554,1446,5.2202166064981945,513,3.1227436823104693,"{0: 0, 1: 41, 2: 1, 3: 367, 4: 140, 5: 4, 6: 1}","{0: 0.0, 1: 0.0740072202166065, 2: 0.0018050541516245488, 3: 0.6624548736462094, 4: 0.2527075812274368, 5: 0.007220216606498195, 6: 0.0018050541516245488}",93750.73499999981,64.83453319502061,54744.34800000005,66.43731553398064,824,225.79336760421444,209.08302812448014,38209.91727620984,22312.113162846665,1.027100913590676,0.0,350,142.6492394611463
1523,1131228,1131108,日野,,,11312,13,191-0061,日野市大坂上１丁目,139.39393,35.679244,0000-00-00,0000-00-00,0,1131228,hino,626,1728,5.520766773162939,543,2.915335463258786,"{0: 0, 1: 83, 2: 0, 3: 430, 4: 113}","{0: 0.0, 1: 0.13258785942492013, 2: 0.0, 3: 0.6869009584664537, 4: 0.1805111821086262}",104308.99800000011,60.36400347222229,54101.32799999998,60.85638695163102,889,281.61672850207844,244.277769291739,46925.173754137184,24338.40095683369,1.0549853108265697,0.0023148148148148147,395,177.69745648294088
1524,1131229,1131109,豊田,,,11312,13,191-0053,日野市豊田４丁目,139.381495,35.659502,0000-00-00,0000-00-00,0,1131229,toyoda,598,1678,5.6120401337792645,552,3.0652173913043477,"{0: 0, 1: 46, 2: 1, 3: 422, 4: 126, 5: 3}","{0: 0.0, 1: 0.07692307692307693, 2: 0.0016722408026755853, 3: 0.705685618729097, 4: 0.21070234113712374, 5: 0.005016722408026756}",103010.51100000012,61.38886233611449,54752.85300000001,62.00776104190262,883,259.3074346980066,239.3607089520061,44667.87851896458,23742.177013088723,1.0229372176287357,0.0017878426698450535,405,175.61791145935229
